Date,Open,High,Low,Close
23-December-2022,60205.56,60546.88,59765.56,59845.29,
26-December-2022,59755.08,60833.78,59754.10,60566.42,
27-December-2022,60861.41,60986.68,60405.66,60927.43,
28-December-2022,60811.52,61075.33,60713.77,60910.28,
29-December-2022,60628.29,61210.65,60479.06,61133.88,
30-December-2022,61329.16,61392.68,60743.71,60840.74,
2-January-2023,60871.24,61222.79,60764.63,61167.79,
3-January-2023,61074.88,61343.96,61004.04,61294.20,
4-January-2023,61294.65,61327.21,60593.56,60657.45,
5-January-2023,60847.50,60877.06,60049.84,60353.27,
6-January-2023,60388.74,60537.63,59669.91,59900.37,
9-January-2023,60147.07,60889.41,60109.94,60747.31,
10-January-2023,60805.14,60809.65,59938.38,60115.48,
11-January-2023,60134.56,60364.77,59805.78,60105.50,
12-January-2023,60083.03,60290.35,59632.32,59958.03,
13-January-2023,60044.96,60418.26,59628.43,60261.18,
16-January-2023,60550.50,60586.77,59963.83,60092.97,
17-January-2023,60142.08,60704.48,60072.34,60655.72,
18-January-2023,60716.03,61110.25,60569.19,61045.74,
19-January-2023,60920.02,61032.47,60716.55,60858.43,
20-January-2023,60901.16,61001.18,60585.25,60621.77,
23-January-2023,60876.01,61113.27,60761.88,60941.67,
24-January-2023,61122.20,61266.06,60849.12,60978.75,
25-January-2023,60834.73,60899.21,60081.36,60205.06,
27-January-2023,60166.90,60166.90,58974.70,59330.90,
30-January-2023,59101.69,59644.24,58699.20,59500.41,
31-January-2023,59770.83,59787.63,59104.59,59549.90,
1-February-2023,60001.17,60773.44,58816.84,59708.08,
2-February-2023,59459.87,60007.67,59215.62,59932.24,
3-February-2023,60350.01,60905.34,60013.06,60841.88,
6-February-2023,60847.21,60847.21,60345.61,60506.90,
7-February-2023,60511.32,60655.14,60063.49,60286.04,
8-February-2023,60332.99,60792.10,60324.92,60663.79,
9-February-2023,60715.89,60863.63,60472.81,60806.22,
10-February-2023,60706.81,60774.14,60501.74,60682.70,
13-February-2023,60652.82,60740.95,60245.05,60431.84,
14-February-2023,60550.25,61102.74,60550.25,61032.26,
15-February-2023,60990.05,61352.55,60750.32,61275.09,
16-February-2023,61566.22,61682.25,61196.72,61319.51,
17-February-2023,60993.54,61302.72,60810.67,61002.57,
20-February-2023,61112.84,61290.19,60607.02,60691.54,
21-February-2023,60770.43,60976.59,60583.72,60672.72,
22-February-2023,60391.86,60462.90,59681.55,59744.98,
23-February-2023,59777.64,59960.04,59406.31,59605.80,
24-February-2023,59859.48,59908.77,59325.34,59463.93,
27-February-2023,59331.31,59441.13,58937.64,59288.35,
28-February-2023,59346.61,59483.72,58795.97,58962.12,
1-March-2023,59136.48,59475.45,59109.54,59411.08,
2-March-2023,59287.18,59423.79,58866.26,58909.35,
3-March-2023,59241.20,59967.04,59231.58,59808.97,
6-March-2023,60007.04,60498.48,60005.65,60224.46,
8-March-2023,59916.10,60402.85,59844.82,60348.09,
9-March-2023,60467.09,60467.09,59750.53,59806.28,
10-March-2023,59259.83,59262.47,58884.98,59135.13,
13-March-2023,59033.77,59510.92,58094.55,58237.85,
14-March-2023,58168.75,58490.98,57721.16,57900.19,
15-March-2023,58268.54,58473.63,57455.67,57555.90,
16-March-2023,57510.80,57887.46,57158.69,57634.84,
17-March-2023,58038.17,58178.94,57503.90,57989.90,
20-March-2023,57773.55,57829.23,57084.91,57628.95,
21-March-2023,57963.27,58133.33,57730.09,58074.68,
22-March-2023,58245.26,58418.78,58063.50,58214.59,
23-March-2023,58061.41,58396.17,57838.85,57925.28,
24-March-2023,57890.66,58066.40,57422.98,57527.10,
27-March-2023,57566.90,58019.55,57415.02,57653.86,
28-March-2023,57751.50,57949.45,57494.91,57613.72,
29-March-2023,57572.08,58124.20,57524.32,57960.09,
31-March-2023,58273.86,59068.47,58273.86,58991.52,
3-April-2023,59131.16,59204.82,58793.08,59106.44,
5-April-2023,59094.71,59747.12,59094.40,59689.31,
6-April-2023,59627.01,59950.06,59520.12,59832.97,
10-April-2023,59858.98,60109.11,59766.23,59846.51,
11-April-2023,60028.60,60267.68,59919.88,60157.72,
12-April-2023,60180.20,60437.64,60094.69,60392.77,
13-April-2023,60364.41,60486.91,60081.43,60431.00,
17-April-2023,60385.90,60407.86,59442.47,59910.75,
18-April-2023,59991.26,60113.47,59579.30,59727.01,
19-April-2023,59745.89,59745.89,59452.72,59567.80,
20-April-2023,59586.61,59836.79,59489.98,59632.35,
21-April-2023,59538.79,59781.36,59412.81,59655.06,
24-April-2023,59873.71,60101.64,59620.11,60056.10,
25-April-2023,60202.77,60268.67,59967.02,60130.71,
26-April-2023,60087.98,60362.79,59954.91,60300.58,
27-April-2023,60315.56,60698.31,60271.49,60649.38,
28-April-2023,60721.61,61209.46,60507.83,61112.44,
2-May-2023,61301.61,61486.24,61255.00,61354.71,
3-May-2023,61274.96,61274.96,61024.44,61193.30,
4-May-2023,61258.13,61797.91,61119.56,61749.25,
5-May-2023,61163.10,61585.50,61002.17,61054.29,
8-May-2023,61166.09,61854.19,61166.09,61764.25,
9-May-2023,61879.68,62027.51,61654.94,61761.33,
10-May-2023,61843.36,61974.35,61572.93,61940.20,
11-May-2023,62158.10,62168.22,61823.07,61904.52,
12-May-2023,61857.69,62110.93,61578.15,62027.90,
15-May-2023,62157.10,62562.67,61950.30,62345.71,
16-May-2023,62474.11,62475.95,61847.41,61932.47,
17-May-2023,61932.32,61979.94,61340.10,61560.64,
18-May-2023,61937.86,61955.90,61349.34,61431.74,
19-May-2023,61556.25,61784.61,61251.70,61729.68,
22-May-2023,61579.78,62044.46,61579.78,61963.68,
23-May-2023,62098.16,62245.19,61914.40,61981.79,
24-May-2023,61834.28,62154.14,61708.10,61773.78,
25-May-2023,61706.13,61934.01,61484.66,61872.62,
26-May-2023,61985.36,62529.83,61911.61,62501.69,
29-May-2023,62801.54,63026.00,62801.54,62846.38,
30-May-2023,62839.85,63036.12,62737.40,62969.13,
31-May-2023,62839.97,62876.77,62401.02,62622.24,
1-June-2023,62736.47,62762.41,62359.14,62428.54,
2-June-2023,62601.97,62719.84,62379.86,62547.11,
5-June-2023,62759.19,62943.20,62751.72,62787.47,
6-June-2023,62738.35,62867.95,62554.21,62792.88,
7-June-2023,62917.39,63196.43,62841.95,63142.96,
8-June-2023,63140.17,63321.40,62789.73,62848.64,
9-June-2023,62810.68,62992.16,62594.74,62625.63,
12-June-2023,62659.98,62804.89,62615.20,62724.71,
13-June-2023,62779.14,63177.47,62777.04,63143.16,
14-June-2023,63115.48,63274.03,63013.51,63228.51,
15-June-2023,63153.78,63310.96,62871.08,62917.63,
16-June-2023,62960.73,63520.36,62957.17,63384.58,
19-June-2023,63474.21,63574.69,63047.83,63168.30,
20-June-2023,63176.77,63440.19,62801.91,63327.70,
21-June-2023,63467.46,63588.31,63315.62,63523.15,
22-June-2023,63601.71,63601.71,63200.63,63238.89,
23-June-2023,63124.28,63240.63,62874.12,62979.37,
26-June-2023,62946.50,63136.09,62853.67,62970.00,
27-June-2023,63151.85,63467.54,63054.84,63416.03,
28-June-2023,63701.78,64050.44,63554.82,63915.42,
30-June-2023,64068.44,64768.58,64068.44,64718.56,
3-July-2023,64836.16,65300.35,64836.16,65205.05,
4-July-2023,65503.85,65672.97,65171.06,65479.05,
5-July-2023,65493.68,65584.33,65256.49,65446.04,
6-July-2023,65391.88,65832.98,65328.29,65785.64,
7-July-2023,65559.41,65898.98,65175.74,65280.45,
10-July-2023,65482.33,65633.49,65246.40,65344.17,
11-July-2023,65598.65,65870.59,65517.57,65617.84,
12-July-2023,65759.28,65811.64,65320.25,65393.90,
13-July-2023,65667.07,66064.21,65452.15,65558.89,
14-July-2023,65775.49,66159.79,65610.82,66060.90,
17-July-2023,66148.18,66656.21,66015.63,66589.93,
18-July-2023,66828.96,67007.02,66574.47,66795.14,
19-July-2023,66905.01,67171.38,66703.61,67097.44,
20-July-2023,67074.34,67619.17,66831.38,67571.90,
21-July-2023,66907.07,67190.52,66533.74,66684.26,
24-July-2023,66629.14,66808.56,66326.25,66384.78,
25-July-2023,66531.20,66559.29,66177.62,66355.71,
26-July-2023,66434.72,66897.27,66431.34,66707.20,
27-July-2023,66834.12,66984.17,66060.74,66266.82,
28-July-2023,66266.35,66351.22,65878.65,66160.20,
31-July-2023,66156.39,66598.42,65998.90,66527.67,
1-August-2023,66532.98,66658.12,66388.26,66459.31,
2-August-2023,66064.41,66261.97,65431.68,65782.78,
3-August-2023,65550.82,65820.82,64963.08,65240.68,
4-August-2023,65453.55,65799.27,65387.18,65721.25,
7-August-2023,65453.55,65799.27,65387.18,65721.25,
8-August-2023,66048.81,66057.53,65752.63,65846.50,
9-August-2023,65810.96,66066.01,65444.38,65995.81,
10-August-2023,65945.39,65956.25,65509.14,65688.18,
11-August-2023,65727.80,65727.80,65274.61,65322.65,
14-August-2023,65153.02,65517.82,64821.88,65401.92,
16-August-2023,65238.67,65605.74,65032.89,65539.42,
17-August-2023,65503.85,65535.14,65046.10,65151.02,
18-August-2023,65025.71,65175.32,64754.72,64948.66,
21-August-2023,64852.70,65335.82,64852.70,65216.09,
22-August-2023,65272.42,65362.91,65165.45,65220.03,
23-August-2023,65300.93,65504.71,65108.51,65433.30,
24-August-2023,65722.51,65913.77,65181.94,65252.34,
25-August-2023,65000.67,65106.00,64732.57,64886.51,
28-August-2023,64908.08,65213.45,64776.92,64996.60,
29-August-2023,65201.35,65229.03,64956.67,65075.82,
30-August-2023,65311.58,65458.70,65052.74,65087.25,
31-August-2023,65178.33,65277.04,64723.63,64831.41,
1-September-2023,64855.51,65473.27,64818.37,65387.16,
4-September-2023,65525.91,65683.91,65285.56,65628.14,
5-September-2023,65671.60,65831.70,65601.47,65780.26,
6-September-2023,65744.19,65971.13,65488.03,65880.52,
7-September-2023,65854.25,66296.90,65672.34,66265.56,
8-September-2023,66381.43,66766.92,66299.30,66598.91,
11-September-2023,66807.73,67172.13,66735.84,67127.08,
12-September-2023,67506.88,67539.10,66948.18,67221.13,
13-September-2023,67188.64,67565.41,67053.36,67466.99,
14-September-2023,67627.03,67771.05,67336.46,67519.00,
15-September-2023,67659.91,67927.23,67614.42,67838.63,
18-September-2023,67665.58,67803.15,67532.83,67596.84,
20-September-2023,67080.18,67294.16,66728.14,66800.84,
21-September-2023,66608.67,66608.67,66128.71,66230.24,
22-September-2023,66215.04,66445.47,65952.83,66009.15,
25-September-2023,66082.99,66225.63,65764.03,66023.69,
26-September-2023,66071.63,66078.26,65865.63,65945.47,
27-September-2023,65925.64,66172.27,65549.96,66118.69,
28-September-2023,66406.01,66406.01,65423.39,65508.32,
29-September-2023,65743.93,66151.65,65570.38,65828.41,
3-October-2023,65813.42,65813.50,65344.59,65512.10,
4-October-2023,65330.65,65332.52,64878.77,65226.04,
5-October-2023,65598.26,65753.20,65443.34,65631.57,
6-October-2023,65867.54,66095.81,65762.33,65995.63,
9-October-2023,65560.07,65789.98,65434.61,65512.39,
10-October-2023,65662.27,66180.17,65662.27,66079.36,
11-October-2023,66376.42,66592.16,66299.79,66473.05,
12-October-2023,66564.57,66577.60,66339.42,66408.39,
13-October-2023,66034.21,66478.90,65895.41,66282.74,
16-October-2023,66238.15,66342.75,66039.38,66166.93,
17-October-2023,66558.15,66559.82,66309.18,66428.09,
18-October-2023,66473.74,66475.27,65842.10,65877.02,
19-October-2023,65484.61,65869.65,65343.50,65629.24,
20-October-2023,65437.07,65555.14,65308.61,65397.62,
23-October-2023,65419.02,65453.92,64502.68,64571.88,
25-October-2023,64619.27,64787.08,63912.16,64049.06,
26-October-2023,63774.16,63774.16,63092.98,63148.15,
27-October-2023,63559.32,63913.13,63393.37,63782.80,
30-October-2023,63885.56,64184.58,63431.45,64112.65,
31-October-2023,64449.65,64452.32,63812.53,63874.93,
1-November-2023,63829.87,63896.05,63550.46,63591.33,
2-November-2023,64033.40,64202.64,63815.35,64080.90,
3-November-2023,64444.90,64535.19,64275.39,64363.78,
6-November-2023,64835.23,64992.54,64617.48,64958.69,
7-November-2023,65021.29,65021.29,64638.10,64942.40,
8-November-2023,65101.95,65124.00,64851.06,64975.61,
9-November-2023,65025.32,65046.56,64768.76,64832.20,
10-November-2023,64756.11,65014.06,64580.95,64904.68,
12-November-2023,65418.98,65418.98,65218.60,65259.45,
13-November-2023,65158.31,65176.96,64853.36,64933.87,
15-November-2023,65461.54,65747.65,65373.50,65675.93,
16-November-2023,65665.87,66358.37,65507.02,65982.48,
17-November-2023,65788.79,66037.69,65639.74,65794.73,
20-November-2023,65787.51,65844.01,65547.80,65655.15,
21-November-2023,65860.46,66082.36,65849.17,65930.77,
22-November-2023,65839.62,66063.43,65664.85,66023.24,
23-November-2023,66084.37,66235.24,65980.50,66017.81,
24-November-2023,66000.29,66101.64,65894.05,65970.04,
28-November-2023,66063.72,66256.20,65906.65,66174.20,
29-November-2023,66381.26,66946.28,66374.52,66901.91,
30-November-2023,66963.20,67069.89,66610.35,66988.44,
1-December-2023,67181.15,67564.33,67149.07,67481.19,
4-December-2023,68435.34,68918.22,68274.47,68865.12,
5-December-2023,69168.53,69381.31,68954.88,69296.14,
6-December-2023,69534.93,69744.62,69395.01,69653.73,
7-December-2023,69694.15,69695.33,69320.53,69521.69,
8-December-2023,69666.38,69893.80,69506.12,69825.60,
11-December-2023,69925.63,70057.83,69782.48,69928.53,
12-December-2023,70020.68,70033.64,69443.85,69551.03,
13-December-2023,69648.56,69657.93,69100.56,69584.60,
14-December-2023,70146.09,70602.89,70110.75,70514.20,
15-December-2023,70804.13,71605.76,70655.97,71483.75,
18-December-2023,71437.35,71552.24,71142.29,71315.09,
19-December-2023,71479.28,71623.71,71071.98,71437.19,
20-December-2023,71647.66,71913.07,70302.60,70506.31,
21-December-2023,69920.89,70958.71,69920.39,70865.10,
22-December-2023,71045.65,71259.55,70713.56,71106.96,
26-December-2023,71097.78,71471.29,71012.08,71336.80,
27-December-2023,71492.02,72119.85,71473.65,72038.43,
28-December-2023,72262.67,72484.34,72137.45,72410.38,
29-December-2023,72351.59,72417.01,72082.64,72240.26,
1-January-2024,72218.39,72561.91,72031.23,72271.94,
2-January-2024,72332.85,72332.85,71613.74,71892.48,
3-January-2024,71832.62,71862.00,71303.97,71356.60,
4-January-2024,71678.93,71954.79,71546.60,71847.57,
5-January-2024,72016.71,72156.48,71779.83,72026.15,
8-January-2024,72113.25,72181.77,71301.04,71355.22,
9-January-2024,71770.91,72035.47,71307.27,71386.21,
10-January-2024,71383.20,71733.84,71110.98,71657.71,
11-January-2024,71907.75,71999.47,71543.19,71721.18,
12-January-2024,72148.07,72720.96,71982.29,72568.45,
15-January-2024,73049.87,73402.16,72909.00,73327.94,
16-January-2024,73331.95,73427.59,72960.29,73128.77,
17-January-2024,71998.93,72484.80,71429.30,71500.76,
18-January-2024,71018.86,71451.29,70665.50,71186.86,
19-January-2024,71786.74,71895.64,71542.74,71683.23,
20-January-2024,72008.30,72026.26,71312.71,71423.65,
23-January-2024,71868.20,72039.20,70234.55,70370.55,
24-January-2024,70165.49,71149.61,70001.60,71060.31,
25-January-2024,71022.10,71049.46,70319.04,70700.67,
29-January-2024,70968.10,72010.22,70880.54,71941.57,
30-January-2024,72000.20,72142.23,71075.72,71139.90,
31-January-2024,71073.04,71851.39,70846.04,71752.11,
1-February-2024,71998.78,72151.02,71574.89,71645.30,
2-February-2024,71977.56,73089.40,71948.77,72085.63,
5-February-2024,72269.12,72385.93,71602.14,71731.42,
6-February-2024,71970.82,72261.40,71625.18,72186.09,
7-February-2024,72548.50,72559.21,71938.22,72152.00,
8-February-2024,72473.42,72473.42,71230.62,71428.43,
9-February-2024,71410.29,71676.49,71200.31,71595.49,
12-February-2024,71722.31,71756.58,70922.57,71072.49,
13-February-2024,71292.08,71662.74,70924.30,71555.19,
14-February-2024,71035.25,71938.59,70809.84,71822.83,
15-February-2024,72061.47,72164.97,71644.44,72050.38,
19-February-2024,72627.60,72881.93,72308.68,72708.16,
20-February-2024,72727.87,73130.69,72510.24,73057.40,
21-February-2024,73267.48,73267.80,72450.56,72623.09,
22-February-2024,72677.51,73256.39,72081.36,73158.24,
23-February-2024,73394.44,73413.93,73022.00,73142.80,
26-February-2024,73044.81,73092.26,72666.82,72790.13,
27-February-2024,72723.53,73161.30,72660.13,73095.22,
28-February-2024,73162.82,73223.11,72222.29,72304.88,
29-February-2024,72220.57,72730.00,72099.32,72500.30,
1-March-2024,72606.31,73819.21,72591.14,73745.35,
2-March-2024,73848.19,73994.70,73778.14,73806.15,
4-March-2024,73903.09,73990.13,73747.01,73872.29,
5-March-2024,73767.42,73915.54,73412.25,73677.13,
6-March-2024,73587.70,74151.27,73321.48,74085.99,
7-March-2024,74242.74,74245.17,73921.48,74119.39,
11-March-2024,74175.93,74187.35,73433.91,73502.64,
12-March-2024,73516.42,74004.16,73342.12,73667.96,
13-March-2024,73993.40,74052.75,72515.71,72761.89,
14-March-2024,72570.10,73364.30,72497.19,73097.28,
15-March-2024,72886.77,72998.07,72484.82,72643.43,
18-March-2024,72587.30,72985.89,72314.16,72748.42,
19-March-2024,72462.94,72490.09,71933.35,72012.05,
20-March-2024,72036.86,72402.67,71674.42,72101.69,
21-March-2024,72507.36,72882.46,72416.03,72641.19,
26-March-2024,72396.97,72705.29,72363.03,72470.30,
27-March-2024,72692.16,73138.73,72600.73,72996.31,
28-March-2024,73149.34,74190.31,73120.33,73651.35,
1-April-2024,73968.62,74254.62,73909.39,74014.55,
2-April-2024,74022.30,74099.78,73743.77,73903.91,
3-April-2024,73757.23,74151.21,73540.27,73876.82,
4-April-2024,74413.82,74501.73,73485.12,74227.63,
5-April-2024,74287.02,74361.11,73946.92,74248.22,
8-April-2024,74555.44,74869.30,74410.07,74742.50,
9-April-2024,75124.28,75124.28,74603.37,74683.70,
10-April-2024,74953.96,75105.14,74807.55,75038.15,
12-April-2024,74889.64,74951.88,74189.31,74244.90,
15-April-2024,73315.16,73905.80,73315.16,73399.78,
16-April-2024,72892.14,73135.43,72685.03,72943.68,
18-April-2024,73183.10,73473.05,72365.67,72488.99,
19-April-2024,71999.65,73210.17,71816.46,73088.33,
22-April-2024,73666.51,73767.80,73227.32,73648.62,
23-April-2024,74048.94,74059.89,73688.31,73738.45,
24-April-2024,73957.57,74121.61,73788.61,73852.94,
25-April-2024,73572.34,74571.25,73556.15,74339.44,
26-April-2024,74509.31,74515.91,73616.65,73730.16,
29-April-2024,73982.75,74721.15,73922.34,74671.28,
30-April-2024,74800.89,75111.39,74346.40,74482.78,
2-May-2024,74391.73,74812.43,74360.69,74611.11,
3-May-2024,75017.82,75095.18,73467.73,73878.15,
6-May-2024,74196.68,74359.69,73786.29,73895.54,
7-May-2024,73973.30,74026.80,73259.26,73511.85,
8-May-2024,73225.00,73684.93,73073.92,73466.39,
9-May-2024,73499.49,73499.49,72334.18,72404.17,
10-May-2024,72475.45,72946.54,72366.29,72664.47,
13-May-2024,72476.65,72863.56,71866.01,72776.13,
14-May-2024,72696.72,73286.26,72683.99,73104.61,
15-May-2024,73200.23,73301.47,72822.66,72987.03,
16-May-2024,73338.24,73749.47,72529.97,73663.72,
17-May-2024,73711.31,74070.84,73459.80,73917.03,
18-May-2024,73921.46,74162.76,73920.63,74005.94,
21-May-2024,73842.96,74189.19,73762.37,73953.31,
22-May-2024,74165.52,74307.79,73860.33,74221.06,
23-May-2024,74253.53,75499.91,74158.35,75418.04,
24-May-2024,75335.45,75636.50,75244.22,75410.39,
27-May-2024,75655.46,76009.68,75175.27,75390.50,
28-May-2024,75585.40,75585.40,75083.22,75170.45,
29-May-2024,74826.94,74986.22,74454.55,74502.90,
30-May-2024,74365.88,74493.55,73668.73,73885.60,
31-May-2024,74208.53,74478.89,73765.15,73961.31,
3-June-2024,76583.29,76738.89,75678.43,76468.78,
4-June-2024,76285.78,76300.46,70234.43,72079.05,
5-June-2024,73027.88,74534.82,71879.44,74382.24,
6-June-2024,75078.70,75297.73,74474.94,75074.51,
7-June-2024,75031.79,76795.31,74941.88,76693.36,
10-June-2024,76935.41,77079.04,76379.73,76490.08,
11-June-2024,76680.90,76860.53,76296.44,76456.59,
12-June-2024,76679.11,77050.53,76533.78,76606.57,
13-June-2024,77102.05,77145.46,76719.70,76810.90,
14-June-2024,76912.38,77081.30,76549.05,76992.77,
18-June-2024,77235.31,77366.77,77071.44,77301.14,
19-June-2024,77543.22,77851.63,76954.87,77337.59,
20-June-2024,77554.83,77643.09,77100.36,77478.93,
21-June-2024,77729.48,77808.45,76802.00,77209.90,
24-June-2024,76885.65,77423.02,76745.94,77341.08,
25-June-2024,77529.19,78164.71,77459.60,78053.52,
26-June-2024,78094.02,78759.40,77945.94,78674.25,
27-June-2024,78758.67,79396.03,78467.34,79243.18,
28-June-2024,79457.58,79671.58,78905.89,79032.73,
1-July-2024,79043.35,79561.00,78971.79,79476.19,
2-July-2024,79840.37,79855.87,79231.11,79441.45,
3-July-2024,80013.77,80074.30,79754.95,79986.80,
4-July-2024,80321.79,80392.64,79986.41,80049.67,
5-July-2024,79778.98,80149.87,79478.96,79996.60,
8-July-2024,79915.00,80067.46,79731.83,79960.38,
9-July-2024,80107.21,80397.17,79998.56,80351.64,
10-July-2024,80481.36,80481.36,79435.76,79924.77,
11-July-2024,80170.09,80170.09,79464.38,79897.34,
12-July-2024,80093.62,80893.51,79843.39,80519.34,
15-July-2024,80686.54,80862.54,80556.97,80664.86,
16-July-2024,80731.49,80898.30,80598.06,80716.55,
18-July-2024,80514.25,81522.55,80390.37,81343.46,
19-July-2024,81585.06,81587.76,80499.10,80604.65,
22-July-2024,80408.90,80800.92,80100.65,80502.08,
23-July-2024,80724.30,80766.41,79224.32,80429.04,
24-July-2024,80343.38,80519.58,79750.51,80148.88,
